Companies,Website,Employees,Category,Country,Linkedin
Buss,https://buss-wohnen.de/,380,Furniture,Germany,
Roller,https://www.roller.de/,390,Furniture,Germany,
SB Möbel Boss,https://moebel-boss.de/,200,Furniture,Germany,
Cassina,https://www.cassina.com/fr/fr.html,510,Furniture,Italy,
Colombini Group ,https://www.colombinigroup.com/,1000,HoldCo,Italy,
Rimadesio,https://www.rimadesio.it/it/,300,Furniture,Italy,
ARAN World,https://www.arancucine.it/fr/,300,Kitchen & Bath,Italy,
Stosa Cucine ,https://www.stosacucine.com/it/,230,Kitchen & Bath,Italy,
Gruppo Lube,https://www.cucinelube.it/,600,Kitchen & Bath,Italy,
Magnet,https://www.magnet.co.uk/,1200,Kitchen & Bath,United Kingdom,
Screwfix,https://www.screwfix.com/,80000,Kitchen & Bath,United Kingdom,
Jewson,https://www.jewson.co.uk/,3500,Kitchen & Bath,United Kingdom,
Howdens,https://howdens.fr/home/,670,Kitchen & Bath,France,
Benchmarx,https://www.benchmarxkitchens.co.uk/,920,Kitchen & Bath,United Kingdom,
Howarth,http://howarth-timber.co.uk/,360,Kitchen & Bath,United Kingdom,
deVOL,https://www.devolkitchens.co.uk/,260,Kitchen & Bath,United Kingdom,
PWS,https://www.pws.co.uk/,250,Kitchen & Bath,United Kingdom,
Ecocuisine,https://www.ecocuisine.ma/,280,Kitchen & Bath,Luxembourg,
Eggo,https://www.eggo.be/fr/,530,Kitchen & Bath,Belgium,
Cuisine Plus,https://www.cuisine-plus.fr/,660,Kitchen & Bath,France,
Mobalpa,https://www.mobalpa.fr/,1500,Kitchen & Bath,France,
Häcker Küchen GmbH & Co. KG,https://www.haecker-kuechen.com/fr/,2100,Kitchen & Bath,Germany,
Miralis,https://www.miralis.com/fr,270,Kitchen & Bath,Canada,
Schüller Möbelwerk GmbH,https://www.schueller.de/de/,2300,Kitchen & Bath,Germany,
HTH Køkkener A/S,https://www.hth.dk/,3200,Kitchen & Bath,Denmark,
Bruynzeel Keukens,https://www.bruynzeelkeukens.nl/,1000,Kitchen & Bath,Netherlands,
Cuisines Aviva,https://www.cuisines-aviva.com/,630,Kitchen & Bath,France,
Boffi SpA,https://www.boffi.com/en/,330,Kitchen & Bath,Italy,
Fantini,https://www.fantini.it/fr-it,210,Kitchen & Bath,Italy,
Kaldewei,https://www.kaldewei.de/,280,Kitchen & Bath,Germany,
Novellini,https://www.novellini.fr/,600,Kitchen & Bath,Italy,
Laufen,https://www.laufen.sk/,410,Kitchen & Bath,Switzerland,
TOTO USA,https://www.totousa.com/,910,Kitchen & Bath,United States,
American Standard Brands,https://www.americanstandard-us.com/,2100,Kitchen & Bath,United States,
Masco,https://www.mascocanada.com/,700,HoldCo,Canada,
House of Rohl,https://houseofrohl.com/,230,Kitchen & Bath,United States,
American Bath Group,https://americanbathgroup.com/,1300,HoldCo,United States,
Duravit,https://www.duravit.us/,7000,Kitchen & Bath,Germany,
Linea Light Group,https://www.linealight.com/en,230,Kitchen & Bath,Italy,
SITS,https://sits.eu/,2000,Furniture,Poland,
Chateau d'Ax,https://www.chateaudax.com/,230,Furniture,Italy,
POLIPOL,https://www.polipol.de/fr/,8000,Furniture,Germany,
Koala,https://au.koala.com/,420,Furniture,Australia,
Amart Furniture,https://www.amartfurniture.com.au/,1800,Furniture,Australia,
Loaf,https://loaf.com/,200,Furniture,United Kingdom,
The Sofa and Chair Company,https://www.thesofaandchair.co.uk/,200,Furniture,United Kingdom,
Havenly Brands,https://havenlybrands.com/,470,Decor,United States,
The Robert Allen Group,https://robertallendesign.com/,310,Furniture,United States,
Maison Pierre Frey,https://www.pierrefrey.com/fr/,320,Furniture,France,
Sissy Boy,https://www.sissy-boy.com/,680,Decor,Netherlands,
Kirkland's,http://www.kirklands.com,840,Furniture,United States,
Moebel Rieger,https://www.moebel-rieger.de/,1500,Furniture,Germany,
Edelman,https://www.edelman.eu/en/,210,Furniture,Netherlands,
Xenos,https://www.xenos.nl/,770,Retail,Netherlands,
B&M,https://bmstores.fr/,760,Retail,France,
Stokomani,https://www.stokomani.fr/,1500,Retail,France,
Thun,https://www.thun.com/fr_en/,830,Retail,Italy,
Puulio,https://www.puuilo.fi/,850,Retail,Finland,
Thomas Philipps,https://www.thomas-philipps.de/,320,Furniture,Germany,
Homesavers,https://homesavers.ie/,270,Retail,Ireland,
Lamaison . fr ,https://www.lamaison.fr/,230,Retail,France,
Jumbo,https://www.jumbo.ch/fr,1500,Retail,Switzerland,
Magazin,https://www.magazin.com/,610,Furniture,Germany,
Amara,https://www.amara.com/,240,Furniture,United Kingdom,
Granit,https://www.granit.com/se/,260,Decor,Sweden,
Deghi,https://www.deghi.it/,450,Furniture,Italy,
Wilko,https://www.wilko.com/,4300,Furniture,United Kingdom,
Karwei,https://www.karwei.nl/,1300,Furniture,Netherlands,
Hellweg,https://www.hellweg.de/,4000,Retail,Germany,
Grafton Group (owner of woodie's),https://www.graftonplc.com/,10000,HoldCo,Ireland,
Panaria Group,https://www.panariagroup.it/,1800,HoldCo,Italy,
